game_id,minute,side,type
1579,90,home,red_card
1579,90,home,red_card
1580,90,away,red_card
1584,87,home,red_card
1584,89,home,red_card
1586,21,home,red_card
1589,63,away,red_card
1590,90,away,red_card
1594,75,home,red_card
1600,90,home,red_card
1605,15,home,red_card
1607,68,away,red_card
1609,49,home,red_card
1609,85,away,red_card
1614,83,away,red_card
1615,90,away,red_card
1622,11,home,red_card
1624,73,away,red_card
1625,87,home,red_card
1625,90,away,red_card
1633,19,home,red_card
1634,57,home,red_card
1645,68,home,red_card
1645,90,away,red_card
1647,90,home,red_card
1648,54,away,red_card
1648,80,away,red_card
1652,64,away,red_card
1702,16,away,red_card
1703,47,away,red_card
1705,58,home,red_card
1705,62,away,red_card
1710,76,home,red_card
1716,65,away,red_card
1719,87,home,red_card
1719,35,away,red_card
1724,79,home,red_card
1737,76,away,red_card
1738,90,home,red_card
1738,90,away,red_card
1753,66,away,red_card
1769,73,away,red_card
1783,26,away,red_card
1789,58,away,red_card
1813,81,away,red_card
1813,90,away,red_card
1824,85,away,red_card
1828,72,away,red_card
1837,45,away,red_card
1840,53,away,red_card
1843,65,home,red_card
1845,81,away,red_card
1845,90,away,red_card
1849,89,away,red_card
1858,89,away,red_card
1861,9,away,red_card
1861,88,away,red_card
1881,58,away,red_card
1885,86,home,red_card
1885,90,away,red_card
1886,89,home,red_card
1890,79,home,red_card
1890,51,away,red_card
1896,64,away,red_card
1896,72,away,red_card
1906,51,home,red_card
1906,71,away,red_card
1908,63,home,red_card
1911,79,home,red_card
1912,85,home,red_card
1913,90,home,red_card
1926,87,away,red_card
1931,42,away,red_card
1939,41,home,red_card
1939,90,away,red_card
1947,69,home,red_card
1948,90,away,red_card
1949,44,away,red_card
1955,57,away,red_card
1958,69,away,red_card
1958,90,away,red_card
1961,61,home,red_card
1967,19,away,red_card
1970,88,away,red_card
1975,7,away,red_card
1976,85,away,red_card
1983,90,home,red_card
1983,90,away,red_card
1992,66,home,red_card
1993,45,away,red_card
2003,81,home,red_card
2004,62,away,red_card
2004,83,away,red_card
2017,29,away,red_card
2019,72,home,red_card
2028,19,away,red_card
2029,75,home,red_card
2030,88,away,red_card
2032,45,away,red_card
2033,45,away,red_card
2040,82,home,red_card
2040,32,away,red_card
2046,85,away,red_card
2054,74,away,red_card
2055,76,away,red_card
2056,70,away,red_card
2062,89,home,red_card
2066,7,home,red_card
2066,69,away,red_card
2089,76,away,red_card
2098,39,home,red_card
2100,70,away,red_card
2110,34,away,red_card
2111,51,home,red_card
2131,38,home,red_card
2131,45,away,red_card
2134,67,home,red_card
2140,88,away,red_card
2140,90,away,red_card
2142,90,away,red_card
2151,39,home,red_card
2151,87,home,red_card
2153,60,away,red_card
2154,59,home,red_card
2171,87,away,red_card
2172,51,home,red_card
2173,72,away,red_card
2174,84,home,red_card
2176,13,home,red_card
2177,60,away,red_card
2180,86,away,red_card
2182,70,home,red_card
2183,38,home,red_card
2195,90,home,red_card
2200,74,home,red_card
2202,45,away,red_card
2205,83,home,red_card
2205,90,home,red_card
2206,19,away,red_card
2210,66,away,red_card
2217,77,home,red_card
2220,87,away,red_card
2221,45,home,red_card
2221,45,away,red_card
2224,67,home,red_card
2231,39,home,red_card
2231,83,away,red_card
2232,40,home,red_card
2234,35,home,red_card
2235,37,away,red_card
2239,89,away,red_card
2244,90,away,red_card
2267,12,away,red_card
2268,73,away,red_card
2271,90,home,red_card
2280,59,home,red_card
2286,89,home,red_card
2292,84,away,red_card
2300,65,away,red_card
2306,69,home,red_card
2310,81,away,red_card
2314,58,away,red_card
2319,76,home,red_card
2320,25,away,red_card
2335,69,away,red_card
2336,15,home,red_card
2353,90,away,red_card
2354,50,home,red_card
2356,36,away,red_card
2357,11,away,red_card
2368,90,away,red_card
2373,80,home,red_card
2374,37,away,red_card
2384,68,home,red_card
2386,90,away,red_card
2389,90,away,red_card
2394,86,away,red_card
2395,90,away,red_card
2396,63,away,red_card
2401,84,home,red_card
2402,80,away,red_card
2403,90,home,red_card
2411,90,away,red_card
2412,90,away,red_card
2413,59,home,red_card
2413,72,away,red_card
2414,84,home,red_card
2414,90,away,red_card
2415,70,away,red_card
2416,81,home,red_card
2432,64,away,red_card
2435,34,away,red_card
2436,77,away,red_card
2441,89,away,red_card
2442,89,away,red_card
2446,56,home,red_card
2447,85,away,red_card
2448,61,away,red_card
2454,42,home,red_card
2454,90,away,red_card
2458,80,home,red_card
2474,49,home,red_card
2476,90,away,red_card
2480,90,home,red_card
2481,81,away,red_card
2493,77,home,red_card
2493,42,away,red_card
2494,62,away,red_card
2494,90,away,red_card
2498,45,home,red_card
2499,90,home,red_card
2500,90,away,red_card
2503,32,home,red_card
